,Date,UTX,Mkt.RF,SMB,HML,fit,lwr,upr,correct,fitted,,,
94,5/16/2005,1.638273104,0.96,0.47,-0.37,0.692086376,-1.145433673,2.529606424,TRUE,0.692086376,FALSE,,
95,5/17/2005,1.788000776,0.66,-0.23,0.33,0.724415701,-1.11504803,2.563879432,TRUE,0.724415701,TRUE,,
96,5/18/2005,1.467051023,1.13,0.94,-0.44,0.761321653,-1.083758488,2.606401794,TRUE,0.761321653,TRUE,,
97,5/19/2005,-0.727848948,0.48,-0.16,0.11,0.48403496,-1.348895673,2.316965593,FALSE,0.48403496,FALSE,,
98,5/20/2005,0.125014788,-0.15,-0.03,0.15,-0.098860701,-1.928211141,1.730489738,FALSE,-0.098860701,TRUE,,
99,5/23/2005,2.330308252,0.45,0.18,0.01,0.379294912,-1.450628294,2.209218119,TRUE,0.379294912,FALSE,,
100,5/24/2005,-0.600747738,0.03,0,0.05,0.031822701,-1.79692569,1.860571091,FALSE,0.031822701,FALSE,,
101,5/25/2005,-0.182870567,-0.44,-0.57,0.34,-0.232293557,-2.067406322,1.602819207,TRUE,-0.232293557,FALSE,,
102,5/26/2005,0.731648372,0.68,0.65,-0.03,0.512438727,-1.32224118,2.347118634,TRUE,0.512438727,FALSE,,
103,5/27/2005,0.235328879,0.26,0.09,0.4,0.334605084,-1.498812697,2.168022865,TRUE,0.334605084,TRUE,,
104,5/31/2005,-1.114721956,-0.44,0.44,0.37,-0.363961472,-2.205955945,1.478033001,TRUE,-0.363961472,FALSE,,
105,6/1/2005,0.733497849,0.89,0.15,0.01,0.786291928,-1.048547477,2.621131333,TRUE,0.786291928,FALSE,,
106,6/2/2005,-0.390590374,0.21,0.08,-0.22,0.10466456,-1.725826857,1.935155977,FALSE,0.10466456,FALSE,,
107,6/3/2005,-0.79476812,-0.59,-0.19,0.55,-0.359684534,-2.197502363,1.478133296,TRUE,-0.359684534,FALSE,,
108,6/6/2005,0.641218544,0.16,0.28,0.13,0.135789388,-1.694533844,1.966112621,TRUE,0.135789388,FALSE,,
109,6/7/2005,0.066335882,-0.01,0.16,0.02,-0.036056503,-1.865409473,1.793296467,FALSE,-0.036056503,TRUE,,
110,6/8/2005,-0.756772259,-0.24,-0.35,0.28,-0.097786949,-1.929573136,1.733999237,TRUE,-0.097786949,TRUE,,
111,6/9/2005,-0.279438192,0.56,0.23,0.05,0.485008554,-1.345779638,2.315796746,FALSE,0.485008554,TRUE,,
112,6/10/2005,-0.978249238,-0.16,0.11,0.51,-0.019767815,-1.855932957,1.816397326,TRUE,-0.019767815,FALSE,,
113,6/13/2005,0.475296497,0.26,0.12,0.22,0.276555748,-1.553810503,2.106921999,TRUE,0.276555748,FALSE,,
114,6/14/2005,0.415121413,0.3,0.43,0.33,0.302928559,-1.53186462,2.137721738,TRUE,0.302928559,TRUE,,
115,6/15/2005,-1.115197871,0.28,0.21,0.21,0.279339988,-1.551284065,2.109964042,FALSE,0.279339988,FALSE,,
116,6/16/2005,0.320900545,0.5,0.59,-0.25,0.290161005,-1.54443431,2.12475632,TRUE,0.290161005,TRUE,,
