"","Date","Bar","Open","High","Low","Close","Dir","Return"
"1000757",20100411,1941,1.36705,1.36705,1.366625,1.3667,"Short",-0.000256025748875368
"1000758",20100411,1942,1.3667,1.3667,1.366575,1.3666,"Long",0.0000731743011854156
"1000759",20100411,1943,1.3666,1.3666,1.366375,1.366575,"Long",0.0000182939099573326
"1000760",20100411,1944,1.366575,1.3667,1.366375,1.366675,"Long",-0.0000731702855470313
"1000761",20100411,1945,1.366675,1.36685,1.36665,1.3668,"Long",-0.0000914544922446084
"1000762",20100411,1946,1.3668,1.366925,1.366525,1.36665,"Short",-0.00010974539069366
"1000763",20100411,1947,1.36665,1.3669,1.36665,1.36675,"Long",-0.0000731662703493609
"1000764",20100411,1948,1.36675,1.36705,1.36665,1.36705,"Short",0.000219498811048245
"1000765",20100411,1949,1.36705,1.36725,1.367025,1.367025,"Short",-0.0000182875534912138
"1000766",20100411,1950,1.367025,1.36705,1.3669,1.366925,"Short",-0.000073151551727283
"1000767",20100411,1951,1.366925,1.366925,1.36635,1.366425,"Short",-0.000365784516341383
"1000768",20100411,1952,1.366425,1.366425,1.366125,1.36615,"Long",0.000201295611755682
"1000769",20100411,1953,1.36615,1.366175,1.36595,1.36615,"Long",0
"1000770",20100411,1954,1.36615,1.36615,1.3659,1.365975,"Long",0.000128113618477671
"1000771",20100411,1955,1.365975,1.365975,1.36575,1.36575,"Long",0.000164744645798953
"1000772",20100411,1956,1.36575,1.365875,1.365725,1.36575,"Long",0
"1000773",20100411,1957,1.36575,1.365975,1.365725,1.365925,"Long",-0.000128118308106255
"1000774",20100411,1958,1.365925,1.365925,1.36575,1.36585,"Long",0.0000549108613684133
"1000775",20100411,1959,1.36585,1.36605,1.365775,1.365825,"Short",-0.0000183036204560836
"1000776",20100411,2000,1.365825,1.36585,1.365575,1.365625,"Short",-0.000146431643878226
"1000777",20100411,2001,1.365625,1.365625,1.365025,1.3651,"Long",0.000384587209728305
"1000778",20100411,2002,1.3651,1.3652,1.364975,1.365025,"Long",0.0000549440486438324
"1000779",20100411,2003,1.365025,1.36505,1.36485,1.36485,"Long",0.000128219218229136
"1000780",20100411,2004,1.36485,1.36485,1.364375,1.3645,"Long",0.000256504213997692
"1000781",20100411,2005,1.3645,1.36465,1.36445,1.364525,"Long",-0.0000183213938916046
"1000782",20100411,2006,1.364525,1.36455,1.364375,1.364425,"Long",0.0000732909467357964
"1000783",20100411,2007,1.364425,1.364425,1.36415,1.36415,"Long",0.000201590734156819
"1000784",20100411,2008,1.36415,1.36445,1.36415,1.3644,"Long",-0.000183230724127883
"1000785",20100411,2009,1.3644,1.36455,1.364025,1.364025,"Short",-0.000274846086191743
"1000786",20100411,2010,1.364025,1.364375,1.364025,1.3643,"Long",-0.000201568569962637
"1000787",20100411,2011,1.3643,1.3644,1.3643,1.36435,"Short",0.0000366488309022088
"1000788",20100411,2012,1.36435,1.36445,1.3639,1.36395,"Long",0.0002932658821804
"1000789",20100411,2013,1.36395,1.364025,1.36395,1.36395,"Long",0
